PestName,ScientificName,HostCrop,RecommendedPesticide,ApplicationMethod
Nematode,Species 09. Genus,Cotton,Bifenthrin,Root Dip
Leafhopper,Species 10. Genus,Soybean,Lambda-cyhalothrin,Root Dip
Rust,Species 08. Genus,Onion,Imidacloprid,Seed Treatment
Mites,Species 08. Genus,Cotton,Neem Oil,Spot Treatment
Mealybug,Species 11. Genus,Potato,Pyriproxyfen,Spot Treatment
Leafhopper,Species 20. Genus,Soybean,Cypermethrin,Pressure Spray
Aphids,Species 05. Genus,Soybean,Tebuconazole,Dust Application
Whitefly,Species 09. Genus,Wheat,Cypermethrin,Granular Soil
Nematode,Species 18. Genus,Cotton,Bacillus thuringiensis,Micro-Encapsulation
Armyworm,Species 17. Genus,Sugarcane,Imidacloprid,Pressure Spray
Rust,Species 16. Genus,Cotton,Spirotetramat,Spot Treatment
Whitefly,Species 11. Genus,Wheat,Lambda-cyhalothrin,Soil Drench
Armyworm,Species 14. Genus,Potato,Chlorpyrifos,Banding
Yellow Mosaic Virus,Species 03. Genus,Maize,Pyriproxyfen,Bait Application
Armyworm,Species 02. Genus,Cotton,Flubendiamide,Banding
Whitefly,Species 01. Genus,Tea,Flubendiamide,Root Dip
Scale Insect,Species 14. Genus,Rice,Pyriproxyfen,Banding
Smut,Species 08. Genus,Soybean,Imidacloprid,Banding
Thrips,Species 09. Genus,Rice,Spirotetramat,Foliar Spray
Whitefly,Species 10. Genus,Lentil,Metalaxyl,Dust Application
Root Rot,Species 16. Genus,Soybean,Neem Oil,Foliar Spray
Cutworm,Species 17. Genus,Mango,Neem Oil,Dust Application
Smut,Species 20. Genus,Jute,Fipronil,Root Dip
Fruit Fly,Species 02. Genus,Cotton,Cypermethrin,Spot Treatment
Mites,Species 04. Genus,Rice,Tebuconazole,Pressure Spray
Bollworm,Species 06. Genus,Wheat,Flubendiamide,Trunk Injection
Bollworm,Species 02. Genus,Rice,Ethoprophos,Thermal Fogging
Yellow Mosaic Virus,Species 17. Genus,Soybean,Thiophanate-methyl,Aerosol
Stem Borer,Species 02. Genus,Groundnut,Tebuconazole,Trunk Injection
Leafhopper,Species 08. Genus,Cotton,Pyriproxyfen,Granular Soil
Pod Borer,Species 19. Genus,Mango,Bifenthrin,Aerosol
Scale Insect,Species 06. Genus,Cotton,Flubendiamide,Electrostatic Spray
Blast,Species 12. Genus,Rice,Tebuconazole,Granular Soil
Aphids,Species 10. Genus,Maize,Spirotetramat,Granular Soil
Fruit Fly,Species 08. Genus,Cotton,Chlorpyrifos,Micro-Encapsulation
Armyworm,Species 02. Genus,Mango,Spirotetramat,Seed Treatment
Rust,Species 12. Genus,Chili,Mancozeb,Hand Spraying
Cutworm,Species 17. Genus,Soybean,Deltamethrin,Pressure Spray
Yellow Mosaic Virus,Species 11. Genus,Soybean,Deltamethrin,Broadcast Spray
Blast,Species 17. Genus,Tea,Cypermethrin,Banding
Armyworm,Species 13. Genus,Jute,Pyriproxyfen,Electrostatic Spray
Cutworm,Species 01. Genus,Wheat,Spirotetramat,Hand Spraying
Pod Borer,Species 13. Genus,Wheat,Deltamethrin,Foliar Spray
Rust,Species 07. Genus,Onion,Chlorpyrifos,Foliar Spray
Thrips,Species 05. Genus,Wheat,Imidacloprid,Chemigation
Smut,Species 11. Genus,Rice,Flubendiamide,Bait Application
Leafhopper,Species 09. Genus,Soybean,Cypermethrin,Pressure Spray
Fruit Fly,Species 05. Genus,Soybean,Chlorpyrifos,Ultra-Low Volume
Leafhopper,Species 07. Genus,Soybean,Thiophanate-methyl,Electrostatic Spray
Rust,Species 04. Genus,Wheat,Pyriproxyfen,Granular Soil
Mites,Species 05. Genus,Soybean,Bacillus thuringiensis,Trunk Injection
Yellow Mosaic Virus,Species 13. Genus,Sugarcane,Cypermethrin,Thermal Fogging
Blast,Species 01. Genus,Groundnut,Imidacloprid,Thermal Fogging
