SoilType,pH_Range,OC_Level,N_Level,P_Level,K_Level,Predicted_Health_Class
Sand,Slightly Alkaline,High,Adequate,Excess,Low,Poor
Chalk,Alkaline,Low,Deficient,High,Deficient,Good
Chalk,Slightly Alkaline,Low,Excess,Adequate,High,Moderate
Clay,Slightly Acidic,Low,High,Adequate,Excess,Critical
Sand,Acidic,High,Excess,Adequate,Adequate,Moderate
Silt,Alkaline,Low,Adequate,Deficient,High,Good
Sand,Alkaline,Very High,Deficient,Excess,Adequate,Moderate
Loam,Slightly Acidic,Very High,Low,Adequate,Excess,Good
Sand,Slightly Alkaline,Medium,Adequate,Low,Deficient,Critical
Sand,Acidic,Low,Adequate,Adequate,High,Good
Loam,Slightly Acidic,High,Deficient,Low,High,Critical
Silt,Slightly Acidic,Low,Low,High,Adequate,Good
Silt,Neutral,Medium,Deficient,Excess,Low,Moderate
Sand,Neutral,Very Low,Low,Deficient,Excess,Poor
Sand,Slightly Alkaline,Very High,Deficient,Excess,High,Critical
Chalk,Acidic,Low,Excess,Low,Adequate,Good
Chalk,Neutral,High,Deficient,Adequate,Excess,Moderate
Chalk,Neutral,Medium,Excess,High,Adequate,Good
Chalk,Alkaline,Very High,Adequate,Deficient,Low,Good
Sand,Slightly Acidic,Very High,Low,Deficient,High,Good
Loam,Slightly Alkaline,Very High,Deficient,Deficient,Low,Good
Silt,Slightly Acidic,Very High,Low,High,High,Good
Chalk,Acidic,High,Adequate,Low,Deficient,Moderate
Loam,Slightly Alkaline,Very High,Excess,Adequate,Low,Poor
Silt,Slightly Acidic,Very High,High,Low,Excess,Good
Chalk,Neutral,Medium,Adequate,High,Adequate,Excellent
Chalk,Slightly Acidic,High,Low,Low,Excess,Good
Silt,Slightly Alkaline,Medium,Excess,Deficient,Low,Poor
Silt,Slightly Alkaline,Very Low,Deficient,Excess,Excess,Poor
Loam,Slightly Alkaline,High,Adequate,Adequate,Deficient,Poor
Clay,Alkaline,Very Low,Excess,Adequate,Adequate,Good
Chalk,Slightly Acidic,Low,Deficient,High,High,Moderate
Loam,Slightly Alkaline,Low,Deficient,Deficient,High,Good
Silt,Slightly Acidic,High,Adequate,Deficient,Deficient,Excellent
Sand,Slightly Acidic,High,Low,Deficient,Excess,Poor
Silt,Alkaline,High,Excess,Excess,High,Excellent
Silt,Acidic,Very Low,Low,Adequate,Adequate,Good
Chalk,Alkaline,Very High,Adequate,Low,Deficient,Moderate
Loam,Neutral,Very Low,Deficient,Excess,High,Excellent
